年度,女性,男性,女性比率,人口（万人）,釣りガール比率,釣りガール人数,釣りボーイ比率,釣りボーイ人口,男10代,男20代,男30代,男40代,男50代,男60代,男70代,女10代,女20代,女30代,女40代,女50代,女60代,女70代
1987,240,1270,14,1610,,,,,,,,,,,,,,,,,,
1988,220,1230,14,1480,,,,,,,,,,,,,,,,,,
1989,260,1450,14,1750,,,,,,,,,,,,,,,,,,
1990,270,1120,17,1540,,,,,,,,,,,,,,,,,,
1991,310,1380,18,1700,,,,,,,,,,,,,,,,,,
1992,340,1420,19,1780,,,,,,,,,,,,,,,,,,
1993,450,1510,22,1970,,,,,,,,,,,,,,,,,,
1994,430,1530,21,1970,,,,,,,,,,,,,,,,,,
1995,430,1450,22,1890,,,,,,,,,,,,,,,,,,
1996,480,1550,23,2040,,,,,,,,,,,,,,,,,,
1997,440,1560,22,2000,,,,,,,,,,,,,,,,,,
1998,510,1510,25,2020,,,,,,,,,,,,,,,,,,
1999,360,1440,19,1810,,,,,,,,,,,,,,,,,,
2000,380,1280,22,1680,,,,,,,,,,,,,,,,,,
2001,370,1310,21,1690,,,,,,,,,,,,,,,,,,
2002,400,1270,23,1670,,,,,,,,,,,,,,,,,,
2003,330,1150,22,1470,,,,,,,,,,,,,,,,,,
2004,290,1190,19,1490,,,,,,,,,,,,,,,,,,
2005,220,850,20,1070,,,,,,,,,,,,,,,,,,
2006,184,1106,14.2,1290,,,,,,,,,,,,,,,,,,
2007,260,880,22,1150,,,,,,,,,,,,,,,,,,
2008,280,830,25,1120,,,,,,,,,,,,,,,,,,
2009,270,780,25,1050,10.7,112,16.2,170,6.8,9.4,15.9,18.6,18.4,16,,4.5,6.2,8.7,5,4.5,4,
2010,240,680,27.6,940,7.8,73,27.4,257,8.6,18.8,12,17.5,13.1,12.7,,1.9,5.9,7.5,6.8,3.7,1.8,
2011,230,684,26.4,930,7.8,72,21.3,198,8.3,13,10.6,16.5,12.3,16.4,,2,5.8,5.4,5.2,4,4,
2012,163,647,20.1,810,4.8,38,10.9,88,3.5,7.4,15.5,15.3,13.5,15.3,9.5,2.9,1.9,4.5,3.8,3.3,3.2,0.5
2013,158,612,20.5,770,4.2,32,16.8,129,10.5,6.3,11.5,17.4,10.3,13.6,13,1.9,2.3,3.9,3,3.1,3.8,2.5
2014,144,526,21.4,670,4.6,30,9.4,62,3.9,5.5,14.2,14.2,10.9,16.7,13.2,1.6,3,4.9,5.3,0.5,3.7,2.4
2015,173,577,23,750,5.2,39,19.7,147,11.3,8.4,10,15.3,9.8,13.3,11.3,3.4,1.8,5.8,5.4,2.3,2.6,1.7
2016,152,538,22,690,9,62,18.5,127,9.8,8.7,9.4,14.2,7.3,11.4,14.2,4,5,4.4,2.5,1.8,2.7,1.6
2017,131,509,20.4,640,5.7,36,10.3,65,4.5,5.8,10.2,15.5,14.8,16.2,12.6,1.9,3.8,3.7,2.4,1,3.7,3.9
2018,139,481,22.4,620,7.2,44,12.1,75,2.9,9.2,10.3,17.3,14.5,11.2,12.2,1.4,5.8,3.4,4.9,3.5,1.9,1.5
2019,162,508,24.1,670,9.1,60,17.5,117,7.8,9.7,8.7,9.1,9.3,9.1,16.5,6.1,3,4.1,3.4,1.4,3.2,2.9
2020,124,426,22.4,550,4.3,23,11,60,4.4,6.6,12.6,12.6,8.8,12.1,20.3,1.6,2.7,4.4,5.5,2.2,2.7,3.3
